05.03.2026                             Salida dinámica de lista                                                                                   1


		Elemento PEP	Denominación del objeto	Texto de pedido		   Val/MonObj	MonO	Doc.compr.	Usuario	Fe.contab.
		EEX-240012-01	EX-Condicion basica cuarto seco Steelas	Presupuesto Servicios de Traducción		    1.535,46	USD	8241895246	AA67756	14.08.2024
		EEX-240011-01	EX-Modificación de seguridad carros ntco			      658,67	USD		ZA35674	23.08.2024
		EEX-240011-01	EX-Modificación de seguridad carros ntco			      587,52	USD		ZA35674	23.08.2024
		EEX-240011-01	EX-Modificación de seguridad carros ntco			       31,22	USD		ZA35674	23.08.2024
		EEX-240011-01	EX-Modificación de seguridad carros ntco			      658,67	USD		ZA81615	26.08.2024
		EEX-240011-01	EX-Modificación de seguridad carros ntco			      587,51	USD		ZA81615	26.08.2024
		EEX-240007-01	EX-Critical Entrapment Points Div B			       75,65	USD		ZA20326	27.08.2024
		EEX-240005-01	EX-Ruedas Ergonomicas Carros Apexer			      496,94	USD		ZA25292	28.08.2024
		EEX-240000-01	EX-Cambio Duct Eqs AC S. Social y P Grua	SIROCCO BLOWER		    4.383,76	USD	8241870462	AC44147	28.08.2024
		EEX-240012-01	EX-Condicion basica cuarto seco Steelas	Presupuesto Servicios de Traducción		       34,35	USD	8241895246	AC77311	30.08.2024
		EEX-240000-01	EX-Cambio Duct Eqs AC S. Social y P Grua	SIROCCO BLOWER		-19,89	USD	8241870462	AC77311	30.08.2024
		EEX-240015-01	EX-Preparatory entrapment points Div. A	Fabricar soporte de seg. en maq. Cal Z		      734,40	USD	8241926969	AC13779	04.09.2024
		EEX-240015-01	EX-Preparatory entrapment points Div. A			       26,41	USD		ZA20326	05.09.2024
		EEX-240015-01	EX-Preparatory entrapment points Div. A			       21,69	USD		ZA20326	05.09.2024
		EEX-240004-01	EX-Upgrade AACC Units for TBM	SK EVAPORADOR EJECUCIÓN		    4.758,52	USD	8241857166	AC44147	05.09.2024
		EEX-240004-01	EX-Upgrade AACC Units for TBM	SK VALVULA DE EXTENSION		    3.196,64	USD	8241857158	AC44147	05.09.2024
		EEX-240004-01	EX-Upgrade AACC Units for TBM	SK SENS. TEMP. AMARILLO 600MM		    1.227,75	USD	8241857158	AC44147	05.09.2024
		EEX-240004-01	EX-Upgrade AACC Units for TBM	SK SENSOR TEMP. BLANCO 1600MM		      930,13	USD	8241857158	AC44147	05.09.2024
